,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
328,52.3637,4.8822,Leidseplein,6,2,Morning
147,52.3631,4.8808,Leidsebosje,1,2,Morning
384,52.3628595,4.8833056,Max Euweplein,6,5,Morning
210,52.3637,4.8822,Leidseplein,3,5,Morning
233,52.3687,4.8772,Appeltjesmarkt,4,3,Morning
381,52.3637,4.8822,Leidseplein,6,5,Morning
201,52.3631,4.8808,Leidsebosje,3,4,Morning
231,52.3631,4.8808,Leidsebosje,4,3,Morning
246,52.3713,4.87531,Groenmarkt,4,4,Morning
245,52.3687,4.8772,Appeltjesmarkt,4,4,Morning
383,52.3631,4.8808,Leidsebosje,6,5,Morning
363,52.3631,4.8808,Leidsebosje,6,4,Morning
244,52.3637,4.8822,Leidseplein,4,4,Morning
365,52.3687,4.8772,Appeltjesmarkt,6,4,Morning
366,52.3713,4.87531,Groenmarkt,6,4,Morning
367,52.3628595,4.8833056,Max Euweplein,6,4,Morning
368,52.3612,4.908,Weesperplein,6,4,Morning
202,52.3637,4.8822,Leidseplein,3,4,Morning
203,52.3687,4.8772,Appeltjesmarkt,3,4,Morning
234,52.3628595,4.8833056,Max Euweplein,4,3,Morning
243,52.3631,4.8808,Leidsebosje,4,4,Morning
211,52.3687,4.8772,Appeltjesmarkt,3,5,Morning
364,52.3637,4.8822,Leidseplein,6,4,Morning
268,52.3637,4.8822,Leidseplein,5,2,Morning
382,52.3687,4.8772,Appeltjesmarkt,6,5,Morning
192,52.3631,4.8808,Leidsebosje,3,3,Morning
219,52.3631,4.8808,Leidsebosje,4,2,Morning
193,52.3637,4.8822,Leidseplein,3,3,Morning
271,52.3713,4.87531,Groenmarkt,5,2,Morning
270,52.3687,4.8772,Appeltjesmarkt,5,2,Morning
269,52.3612,4.908,Weesperplein,5,2,Morning
255,52.3637,4.8822,Leidseplein,4,5,Morning
267,52.3631,4.8808,Leidsebosje,5,2,Morning
232,52.3637,4.8822,Leidseplein,4,3,Morning
221,52.3612,4.908,Weesperplein,4,2,Morning
222,52.3687,4.8772,Appeltjesmarkt,4,2,Morning
212,52.3631,4.8808,Leidsebosje,3,5,Morning
194,52.3687,4.8772,Appeltjesmarkt,3,3,Morning
258,52.3628595,4.8833056,Max Euweplein,4,5,Morning
257,52.3631,4.8808,Leidsebosje,4,5,Morning
256,52.3687,4.8772,Appeltjesmarkt,4,5,Morning
220,52.3637,4.8822,Leidseplein,4,2,Morning
339,52.3631,4.8808,Leidsebosje,6,2,Night
340,52.3637,4.8822,Leidseplein,6,2,Night
341,52.3612,4.908,Weesperplein,6,2,Night
378,52.3713,4.87531,Groenmarkt,6,4,Night
377,52.3687,4.8772,Appeltjesmarkt,6,4,Night
376,52.3637,4.8822,Leidseplein,6,4,Night
375,52.3631,4.8808,Leidsebosje,6,4,Night
