origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.40643251_4.88930498,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.37010431_4.90925773,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.36636082_4.80218278,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.34879041_4.84370537,52.3597385_4.8598305,347,E21,Overtoomse Sluis
52.38459839_4.86331622,52.3597385_4.8598305,476,E21,Overtoomse Sluis
52.36045023_4.92916923,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.348825_4.9148372,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.39622675_4.95481232,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.30187026_4.88177715,52.361583_4.873396,99999,E22,Vondelbuurt
52.30742444_4.97326246,52.361583_4.873396,99999,E22,Vondelbuurt
52.34122656_4.96464743,52.361583_4.873396,99999,E22,Vondelbuurt
52.35790106_4.8859532,52.361583_4.873396,185,E22,Vondelbuurt
52.30697114_5.01931383,52.361583_4.873396,99999,E22,Vondelbuurt
52.33239698_4.94041243,52.361583_4.873396,99999,E22,Vondelbuurt
52.37256242_4.87565532,52.361583_4.873396,175,E22,Vondelbuurt
52.40643251_4.88930498,52.361583_4.873396,99999,E22,Vondelbuurt
52.37010431_4.90925773,52.361583_4.873396,426,E22,Vondelbuurt
52.36636082_4.80218278,52.361583_4.873396,99999,E22,Vondelbuurt
52.34879041_4.84370537,52.361583_4.873396,407,E22,Vondelbuurt
52.38459839_4.86331622,52.361583_4.873396,411,E22,Vondelbuurt
52.36045023_4.92916923,52.361583_4.873396,99999,E22,Vondelbuurt
52.348825_4.9148372,52.361583_4.873396,419,E22,Vondelbuurt
52.39622675_4.95481232,52.361583_4.873396,99999,E22,Vondelbuurt
52.30187026_4.88177715,52.390316_4.8545395,99999,E36,Sloterdijk
52.30742444_4.97326246,52.390316_4.8545395,99999,E36,Sloterdijk
52.34122656_4.96464743,52.390316_4.8545395,99999,E36,Sloterdijk
52.35790106_4.8859532,52.390316_4.8545395,99999,E36,Sloterdijk
52.30697114_5.01931383,52.390316_4.8545395,99999,E36,Sloterdijk
52.33239698_4.94041243,52.390316_4.8545395,99999,E36,Sloterdijk
52.37256242_4.87565532,52.390316_4.8545395,441,E36,Sloterdijk
52.40643251_4.88930498,52.390316_4.8545395,614,E36,Sloterdijk
52.37010431_4.90925773,52.390316_4.8545395,99999,E36,Sloterdijk
52.36636082_4.80218278,52.390316_4.8545395,99999,E36,Sloterdijk
52.34879041_4.84370537,52.390316_4.8545395,99999,E36,Sloterdijk
52.38459839_4.86331622,52.390316_4.8545395,226,E36,Sloterdijk
52.36045023_4.92916923,52.390316_4.8545395,99999,E36,Sloterdijk
52.348825_4.9148372,52.390316_4.8545395,99999,E36,Sloterdijk
