,index,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
198,3,52.3628595,4.8833056,Max Euweplein,5,5,Night
199,4,52.366338,4.88034,Raamplein,5,5,Night
200,0,52.3631,4.8808,Leidsebosje,6,2,Morning
201,1,52.3637,4.8822,Leidseplein,6,2,Morning
202,2,52.3612,4.908,Weesperplein,6,2,Morning
203,3,52.3687,4.8772,Appeltjesmarkt,6,2,Morning
204,4,52.3713,4.87531,Groenmarkt,6,2,Morning
205,5,52.354702,4.85755,Vondelpark,6,2,Morning
206,0,52.3631,4.8808,Leidsebosje,6,2,Afternoon
207,1,52.3637,4.8822,Leidseplein,6,2,Afternoon
208,2,52.3612,4.908,Weesperplein,6,2,Afternoon
209,3,52.3687,4.8772,Appeltjesmarkt,6,2,Afternoon
210,4,52.3713,4.87531,Groenmarkt,6,2,Afternoon
211,5,52.354702,4.85755,Vondelpark,6,2,Afternoon
212,0,52.3631,4.8808,Leidsebosje,6,2,Evening
213,1,52.3637,4.8822,Leidseplein,6,2,Evening
214,2,52.3612,4.908,Weesperplein,6,2,Evening
215,3,52.3687,4.8772,Appeltjesmarkt,6,2,Evening
216,4,52.3713,4.87531,Groenmarkt,6,2,Evening
217,5,52.354702,4.85755,Vondelpark,6,2,Evening
218,0,52.3631,4.8808,Leidsebosje,6,2,Night
219,1,52.3637,4.8822,Leidseplein,6,2,Night
220,2,52.3612,4.908,Weesperplein,6,2,Night
221,3,52.3687,4.8772,Appeltjesmarkt,6,2,Night
222,4,52.3713,4.87531,Groenmarkt,6,2,Night
223,5,52.354702,4.85755,Vondelpark,6,2,Night
224,0,52.3631,4.8808,Leidsebosje,6,3,Morning
225,1,52.3637,4.8822,Leidseplein,6,3,Morning
226,2,52.3687,4.8772,Appeltjesmarkt,6,3,Morning
227,3,52.3628595,4.8833056,Max Euweplein,6,3,Morning
228,4,52.3713,4.87531,Groenmarkt,6,3,Morning
229,5,52.3612,4.908,Weesperplein,6,3,Morning
230,0,52.3631,4.8808,Leidsebosje,6,3,Afternoon
231,1,52.3637,4.8822,Leidseplein,6,3,Afternoon
232,2,52.3687,4.8772,Appeltjesmarkt,6,3,Afternoon
233,3,52.3628595,4.8833056,Max Euweplein,6,3,Afternoon
234,4,52.3713,4.87531,Groenmarkt,6,3,Afternoon
235,5,52.3612,4.908,Weesperplein,6,3,Afternoon
236,0,52.3631,4.8808,Leidsebosje,6,3,Evening
237,1,52.3637,4.8822,Leidseplein,6,3,Evening
238,2,52.3687,4.8772,Appeltjesmarkt,6,3,Evening
239,3,52.3628595,4.8833056,Max Euweplein,6,3,Evening
240,4,52.3713,4.87531,Groenmarkt,6,3,Evening
241,5,52.3612,4.908,Weesperplein,6,3,Evening
242,0,52.3631,4.8808,Leidsebosje,6,3,Night
243,1,52.3637,4.8822,Leidseplein,6,3,Night
244,2,52.3687,4.8772,Appeltjesmarkt,6,3,Night
245,3,52.3628595,4.8833056,Max Euweplein,6,3,Night
246,4,52.3713,4.87531,Groenmarkt,6,3,Night
247,5,52.3612,4.908,Weesperplein,6,3,Night
248,0,52.3631,4.8808,Leidsebosje,6,4,Morning
249,1,52.3637,4.8822,Leidseplein,6,4,Morning
250,2,52.3687,4.8772,Appeltjesmarkt,6,4,Morning
251,3,52.3713,4.87531,Groenmarkt,6,4,Morning
252,4,52.3628595,4.8833056,Max Euweplein,6,4,Morning
253,5,52.3612,4.908,Weesperplein,6,4,Morning
254,0,52.3631,4.8808,Leidsebosje,6,4,Afternoon
255,1,52.3637,4.8822,Leidseplein,6,4,Afternoon
256,2,52.3687,4.8772,Appeltjesmarkt,6,4,Afternoon
257,3,52.3713,4.87531,Groenmarkt,6,4,Afternoon
258,4,52.3628595,4.8833056,Max Euweplein,6,4,Afternoon
259,5,52.3612,4.908,Weesperplein,6,4,Afternoon
260,0,52.3631,4.8808,Leidsebosje,6,4,Evening
261,1,52.3637,4.8822,Leidseplein,6,4,Evening
262,2,52.3687,4.8772,Appeltjesmarkt,6,4,Evening
263,3,52.3713,4.87531,Groenmarkt,6,4,Evening
264,4,52.3628595,4.8833056,Max Euweplein,6,4,Evening
265,5,52.3612,4.908,Weesperplein,6,4,Evening
266,0,52.3631,4.8808,Leidsebosje,6,4,Night
267,1,52.3637,4.8822,Leidseplein,6,4,Night
268,2,52.3687,4.8772,Appeltjesmarkt,6,4,Night
269,3,52.3713,4.87531,Groenmarkt,6,4,Night
270,4,52.3628595,4.8833056,Max Euweplein,6,4,Night
