buurt,prioriteit,dagdeel,uur,code,LAT,LNG
De Punt,2,Avond,17,F83,52.3576805,4.784397
De Punt,2,Middag,13,F83,52.3576805,4.784397
De Punt,2,Nacht,6,F83,52.3576805,4.784397
De Punt,2,Ochtend,5,F83,52.3576805,4.784397
De Weteringschans,1,Avond,107,A07,52.3620555,4.8919255
De Weteringschans,1,Middag,120,A07,52.3620555,4.8919255
De Weteringschans,1,Nacht,106,A07,52.3620555,4.8919255
De Weteringschans,1,Ochtend,111,A07,52.3620555,4.8919255
De Weteringschans,2,Avond,14,A07,52.3620555,4.8919255
De Weteringschans,2,Middag,12,A07,52.3620555,4.8919255
De Weteringschans,2,Nacht,27,A07,52.3620555,4.8919255
De Weteringschans,2,Ochtend,4,A07,52.3620555,4.8919255
De Weteringschans,3,Avond,1,A07,52.3620555,4.8919255
De Weteringschans,3,Middag,1,A07,52.3620555,4.8919255
Diamantbuurt,1,Avond,89,,,
Diamantbuurt,1,Middag,49,,,
Diamantbuurt,1,Nacht,45,,,
Diamantbuurt,1,Ochtend,31,,,
Diamantbuurt,2,Avond,18,,,
Diamantbuurt,2,Middag,6,,,
Diamantbuurt,2,Nacht,8,,,
Diamantbuurt,2,Ochtend,4,,,
Diamantbuurt,3,Middag,1,,,
Dorpscentrumcentrum,1,Avond,29,,,
Dorpscentrumcentrum,1,Middag,49,,,
Dorpscentrumcentrum,1,Nacht,10,,,
Dorpscentrumcentrum,1,Ochtend,45,,,
Dorpscentrumcentrum,2,Avond,2,,,
Dorpscentrumcentrum,2,Nacht,1,,,
Dorpscentrumcentrum,2,Ochtend,1,,,
Driemond,1,Avond,13,T98,52.3134855,5.0093725
Driemond,1,Middag,10,T98,52.3134855,5.0093725
Driemond,1,Nacht,2,T98,52.3134855,5.0093725
Driemond,1,Ochtend,1,T98,52.3134855,5.0093725
Driemond,2,Avond,7,T98,52.3134855,5.0093725
Driemond,2,Middag,5,T98,52.3134855,5.0093725
Driemond,2,Nacht,13,T98,52.3134855,5.0093725
Driemond,2,Ochtend,3,T98,52.3134855,5.0093725
Driemond,3,Nacht,1,T98,52.3134855,5.0093725
Duivelseiland,1,Avond,9,,,
Duivelseiland,1,Middag,7,,,
Duivelseiland,1,Nacht,8,,,
Duivelseiland,1,Ochtend,3,,,
Duivelseiland,2,Avond,3,,,
Duivelseiland,2,Nacht,3,,,
Duivelseiland,2,Ochtend,1,,,
Duivendrecht,1,Avond,67,,,
Duivendrecht,1,Middag,49,,,
Duivendrecht,1,Nacht,52,,,
Duivendrecht,1,Ochtend,42,,,
Duivendrecht,2,Avond,11,,,
Duivendrecht,2,Middag,10,,,
Duivendrecht,2,Nacht,7,,,
Duivendrecht,2,Ochtend,1,,,
Duivendrecht,3,Middag,1,,,
Eendracht,1,Avond,39,F79,52.3770435,4.7766975
Eendracht,1,Middag,19,F79,52.3770435,4.7766975
Eendracht,1,Nacht,24,F79,52.3770435,4.7766975
Eendracht,1,Ochtend,6,F79,52.3770435,4.7766975
Eendracht,2,Avond,10,F79,52.3770435,4.7766975
Eendracht,2,Middag,10,F79,52.3770435,4.7766975
Eendracht,2,Nacht,5,F79,52.3770435,4.7766975
Eendracht,2,Ochtend,4,F79,52.3770435,4.7766975
Eendracht,3,Avond,1,F79,52.3770435,4.7766975
Elsrijk-Oost,1,Avond,35,,,
Elsrijk-Oost,1,Middag,34,,,
Elsrijk-Oost,1,Nacht,18,,,
Elsrijk-Oost,1,Ochtend,20,,,
