wijk,prioriteit,dagdeel,count,code,LAT,LNG
Omval/Overamstel,2,Middag,10,M58,52.332379,4.918914
Omval/Overamstel,2,Nacht,11,M58,52.332379,4.918914
Omval/Overamstel,2,Ochtend,9,M58,52.332379,4.918914
De Punt,1,Avond,47,F83,52.3576805,4.784397
De Punt,1,Middag,60,F83,52.3576805,4.784397
De Punt,1,Nacht,37,F83,52.3576805,4.784397
De Punt,1,Ochtend,27,F83,52.3576805,4.784397
De Punt,2,Avond,17,F83,52.3576805,4.784397
De Punt,2,Middag,13,F83,52.3576805,4.784397
De Punt,2,Nacht,6,F83,52.3576805,4.784397
De Punt,2,Ochtend,5,F83,52.3576805,4.784397
De Weteringschans,1,Avond,107,A07,52.3620555,4.8919255
De Weteringschans,1,Middag,120,A07,52.3620555,4.8919255
De Weteringschans,1,Nacht,106,A07,52.3620555,4.8919255
De Weteringschans,1,Ochtend,111,A07,52.3620555,4.8919255
De Weteringschans,2,Avond,14,A07,52.3620555,4.8919255
De Weteringschans,2,Middag,12,A07,52.3620555,4.8919255
De Weteringschans,2,Nacht,27,A07,52.3620555,4.8919255
De Weteringschans,2,Ochtend,4,A07,52.3620555,4.8919255
De Weteringschans,3,Avond,1,A07,52.3620555,4.8919255
De Weteringschans,3,Middag,1,A07,52.3620555,4.8919255
Driemond,1,Avond,13,T98,52.3134855,5.0093725
Driemond,1,Middag,10,T98,52.3134855,5.0093725
Driemond,1,Nacht,2,T98,52.3134855,5.0093725
Driemond,1,Ochtend,1,T98,52.3134855,5.0093725
Driemond,2,Avond,7,T98,52.3134855,5.0093725
Driemond,2,Middag,5,T98,52.3134855,5.0093725
Driemond,2,Nacht,13,T98,52.3134855,5.0093725
Driemond,2,Ochtend,3,T98,52.3134855,5.0093725
Driemond,3,Nacht,1,T98,52.3134855,5.0093725
Eendracht,1,Avond,39,F79,52.3770435,4.7766975
Eendracht,1,Middag,19,F79,52.3770435,4.7766975
Eendracht,1,Nacht,24,F79,52.3770435,4.7766975
Eendracht,1,Ochtend,6,F79,52.3770435,4.7766975
Eendracht,2,Avond,10,F79,52.3770435,4.7766975
Eendracht,2,Middag,10,F79,52.3770435,4.7766975
Eendracht,2,Nacht,5,F79,52.3770435,4.7766975
Eendracht,2,Ochtend,4,F79,52.3770435,4.7766975
Eendracht,3,Avond,1,F79,52.3770435,4.7766975
Erasmuspark,1,Avond,48,E38,52.376243,4.8511805
Erasmuspark,1,Middag,45,E38,52.376243,4.8511805
Erasmuspark,1,Nacht,30,E38,52.376243,4.8511805
Erasmuspark,1,Ochtend,22,E38,52.376243,4.8511805
Erasmuspark,2,Avond,18,E38,52.376243,4.8511805
Erasmuspark,2,Middag,16,E38,52.376243,4.8511805
Erasmuspark,2,Nacht,6,E38,52.376243,4.8511805
Erasmuspark,2,Ochtend,2,E38,52.376243,4.8511805
Frankendael,1,Avond,175,M55,52.347574,4.9262095
Frankendael,1,Middag,128,M55,52.347574,4.9262095
Frankendael,1,Nacht,123,M55,52.347574,4.9262095
Frankendael,1,Ochtend,90,M55,52.347574,4.9262095
Frankendael,2,Avond,48,M55,52.347574,4.9262095
Frankendael,2,Middag,24,M55,52.347574,4.9262095
Frankendael,2,Nacht,29,M55,52.347574,4.9262095
Frankendael,2,Ochtend,9,M55,52.347574,4.9262095
Frankendael,3,Avond,1,M55,52.347574,4.9262095
Frankendael,3,Ochtend,2,M55,52.347574,4.9262095
Frederik Hendrikbuurt,1,Avond,54,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Middag,51,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Nacht,37,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Ochtend,26,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Avond,12,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Middag,7,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Nacht,6,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Ochtend,2,E16,52.3767595,4.873115
Gein,1,Avond,80,T97,52.2955235,4.9939255
Gein,1,Middag,60,T97,52.2955235,4.9939255
Gein,1,Nacht,52,T97,52.2955235,4.9939255
Gein,1,Ochtend,22,T97,52.2955235,4.9939255
Gein,2,Avond,23,T97,52.2955235,4.9939255
Gein,2,Middag,16,T97,52.2955235,4.9939255
Gein,2,Nacht,20,T97,52.2955235,4.9939255
Gein,2,Ochtend,10,T97,52.2955235,4.9939255
Gein,3,Middag,1,T97,52.2955235,4.9939255
Geuzenveld,1,Avond,170,F78,52.3785475,4.801818
Geuzenveld,1,Middag,130,F78,52.3785475,4.801818
